Rank,Name,Ticker,Sector,Industry,Revenue,Profit
273,Group 1 Automotive,GPI,Consumer Cyclical,Auto & Truck Dealerships,11123.7,213.4
274,Entergy,ETR,Utilities,Utilities - Regulated Electric,11074.5,411.6
275,Molson Coors Brewing,TAP,Consumer Defensive,Beverages - Brewers,11002.8,1414.2
276,L3 Technologies,LHX,Industrials,Aerospace & Defense,11002,677
277,Ball,BALL,Basic Materials,Packaging & Containers,10983,374
278,AutoZone,AZO,Consumer Cyclical,Specialty Retail,10888.7,1280.9
279,Murphy USA,MUSA,Consumer Cyclical,Specialty Retail,10853.4,245.3
280,MGM Resorts International,MGM,Consumer Cyclical,Resorts & Casinos,10773.9,1960.3
281,Office Depot,ODP,Consumer Cyclical,Specialty Retail,10752,181
282,Huntsman,HUN,Basic Materials,Chemicals,10592,636
283,Baxter International,BAX,Healthcare,Medical Instruments & Supplies,10561,717
284,Norfolk Southern,NSC,Industrials,Railroads,10551,5404
285,salesforce.com,CRM,Technology,Software - Application,10480,127.5
286,Laboratory Corp. of America,LH,Healthcare,Diagnostics & Research,10441.4,1268.2
287,W.W. Grainger,GWW,Industrials,Industrial Distribution,10424.9,585.7
288,Qurate Retail,QRTEA,Consumer Cyclical,Internet Retail,10404,2441
289,Autoliv,ALV,Consumer Cyclical,Auto Parts,10382.6,427.1
290,Live Nation Entertainment,LYV,Communication Services,Entertainment,10337.4,-6
291,Xerox,XRX,Technology,Information Technology Services,10265,195
292,Leidos Holdings,LDOS,Technology,Information Technology Services,10170,366
293,Corning,GLW,Technology,Electronic Components,10116,-497
294,Lithia Motors,LAD,Consumer Cyclical,Auto & Truck Dealerships,10086.5,245.2
295,Expedia Group,EXPE,Consumer Cyclical,Travel Services,10059.8,378
296,Republic Services,RSG,Industrials,Waste Management,10041.5,1278.4
297,Jacobs Engineering Group,J,Industrials,Engineering & Construction,10022.8,293.7
298,Sonic Automotive,SAH,Consumer Cyclical,Auto & Truck Dealerships,9867.2,93
299,Ally Financial,ALLY,Financial Services,Credit Services,9866,929
300,LKQ,LKQ,Consumer Cyclical,Auto Parts,9848,533.7
301,BorgWarner,BWA,Consumer Cyclical,Auto Parts,9799.3,439.9
302,Fidelity National Financial,FNF,Financial Services,Insurance - Specialty,9769,771
303,SunTrust Banks,TFC,Financial Services,Banks - Regional,9741,2273
304,IQVIA Holdings,IQV,Healthcare,Diagnostics & Research,9739,1309
305,Reliance Steel & Aluminum,RS,Basic Materials,Steel,9721,613.4
306,Nvidia,NVDA,Technology,Semiconductors,9714,3047
307,Voya Financial,VOYA,Financial Services,Financial Conglomerates,9660,-2992
308,CenterPoint Energy,CNP,Utilities,Utilities - Regulated Electric,9614,1792
309,eBay,EBAY,Consumer Cyclical,Internet Retail,9567,-1016
310,Eastman Chemical,EMN,Basic Materials,Specialty Chemicals,9549,1384
311,American Family Insurance Group,,Financial Services,,9545.4,155.6
312,Steel Dynamics,STLD,Basic Materials,Steel,9538.8,812.7
313,Pacific Life,,Financial Services,,9510,1365
314,Chesapeake Energy,CHK,Energy,Oil & Gas E&P,9496,949
315,Mohawk Industries,MHK,Consumer Cyclical,"Furnishings, Fixtures & Appliances",9491.3,971.6
316,Quanta Services,PWR,Industrials,Engineering & Construction,9466.5,315
317,Advance Auto Parts,AAP,Consumer Cyclical,Specialty Retail,9373.8,475.5
318,Owens & Minor,OMI,Healthcare,Medical Distribution,9318.3,72.8
319,United Natural Foods,UNFI,Consumer Defensive,Food Distribution,9274.5,130.2
320,Tenneco,,Consumer Cyclical,,9274,207
321,Conagra Brands,CAG,Consumer Defensive,Packaged Foods,9234.8,639.3
322,GameStop,GME,Consumer Cyclical,Specialty Retail,9224.6,34.7
323,Hormel Foods,HRL,Consumer Defensive,Packaged Foods,9167.5,846.7
324,Hilton Worldwide Holdings,HLT,Consumer Cyclical,Lodging,9140,1259
325,Frontier Communications,FYBR,Communication Services,Telecom Services,9128,-1804
326,Fidelity National Information Services,FIS,Technology,Information Technology Services,9123,1319
327,Public Service Enterprise Group,PEG,Utilities,Utilities - Regulated Electric,9084,1574
328,Boston Scientific,BSX,Healthcare,Medical Devices,9048,104
329,O’Reilly Automotive,ORLY,Consumer Cyclical,Specialty Retail,8977.7,1133.8
330,Charles Schwab,SCHW,Financial Services,Capital Markets,8960,2354
331,Global Partners,GLP,Energy,Oil & Gas Midstream,8920.6,58.8
332,PVH,PVH,Consumer Cyclical,Apparel Manufacturing,8914.8,537.8
333,Avis Budget Group,CAR,Industrials,Rental & Leasing Services,8848,361
334,Targa Resources,TRGP,Energy,Oil & Gas Midstream,8814.9,54
335,Hertz Global Holdings,HTZ,Industrials,Rental & Leasing Services,8803,327
336,Calpine,,Utilities,,8752,-339
337,Mutual of Omaha Insurance,,Financial Services,,8731.9,862.6
338,Crown Holdings,CCK,Consumer Cyclical,Packaging & Containers,8698,323
339,Peter Kiewit Sons’,,Industrials,,8678,371
340,Dick’s Sporting Goods,DKS,Consumer Cyclical,Specialty Retail,8590.5,323.4
