Company,Industry
Mitchell Energy & Devel.,Energy
Tyler,Technology
Dayco,Consumer Cyclical
Bowater,Basic Materials
Lubrizol,Basic Materials
Dow Corning,Basic Materials
Household Manufacturing,Consumer Cyclical
Federal-Mogul,Consumer Cyclical
Natl. Coop. Refinery Assn.,Energy
Phelps Dodge,Basic Materials
Sanders Associates,Industrials
Sequa,Industrials
National Starch & Chemical,Basic Materials
Outboard Marine,Industrials
McCormick,Consumer Defensive
Lone Star Industries,Basic Materials
Sonoco Products,Consumer Cyclical
AMDAHL,Technology
Interlake,Industrials
M/A-Com,Technology
Big Three Industries,NaN
Champion Spark Plug,Consumer Cyclical
Tecumseh Products,Industrials
Reichhold Chemicals,Basic Materials
Arvin Industries,Consumer Cyclical
Harcourt Brace Jovanovich,Communication Services
Insilco,Industrials
MEI,Technology
Figgie International,Industrials
Joy Technologies,Technology
United Merchants & Mfrs.,Consumer Cyclical
Bemis,Basic Materials
Federal Paper Board,Basic Materials
Coleco Industries,Consumer Cyclical
Echlin,Consumer Cyclical
DR Holdings Inc. of Delaware,NaN
Armtek,Industrials
Deluxe,Communication Services
Midland-Ross,Industrials
Mohasco,Consumer Cyclical
Bell & Howell,Technology
Cincinnati Milacron,Industrials
GAF,Basic Materials
Newmont Mining,Basic Materials
Freeport-McMoran,Basic Materials
Anchor Hocking,Consumer Cyclical
Briggs & Stratton,Industrials
Consolidated Papers,Basic Materials
Scott & Fetzer,Industrials
A.H. Robins,Healthcare
Interstate Bakeries,Consumer Defensive
Amsted Industries,Industrials
Worthington Industries,Industrials
Southwest Forest Industries,Basic Materials
Smith International,Industrials
Esselte Business Systems,Industrials
First City Industries,NaN
Maytag,Consumer Cyclical
Nalco Chemical,Basic Materials
Wheeling Pittsburgh,Basic Materials
MacMillan,Communication Services
Raychem,Technology
Tyco International,Industrials
Storage Technology,Technology
Rubbermaid,Consumer Cyclical
Smithfield Foods,Consumer Defensive
Dennison Manufacturing,Industrials
Thorn Apple Valley,Consumer Defensive
Ferro,Industrials
AG Processing,Consumer Defensive
Eagle-Picher Industries,Industrials
Dexter,Industrials
Smurfit-Stone Container,Basic Materials
Savannah Foods & Industries,Consumer Defensive
Flowers Industries,Consumer Defensive
SPX,Industrials
Tandem Computers,Consumer Cyclical
Nashua,Basic Materials
Wm. Wrigley Jr.,Consumer Defensive
Robertson-Ceco,Industrials
Ceco Industries,Industrials
AM International,Technology
Rohr,Industrials
Nortek,Industrials
Metaldyne,Industrials
Bausch & Lomb,Healthcare
Warnaco Group,Consumer Cyclical
Snap-On,Industrials
Memorex Telex,Technology
Phillips-Van Heusen,Consumer Cyclical
Kellwood,Consumer Cyclical
Fieldcrest Cannon,Consumer Cyclical
Moore McCormack Resources,Industrials
Westmoreland Coal,Energy
Media General,Communication Services
Foxboro,Industrials
Roper,Technology 
Tracor,Consumer Cyclical
Rhone-Poulenc Rorer,Healthcare
Oxford Industries,Consumer Cyclical
Georgia Kraft,Basic Materials
Carpenter Technology,Industrials
Handy & Harman,Industrials
Liz Claiborne,Consumer Cyclical
Guardian Industries,Industrials
Cameron Iron Works,Energy
Winn Enterprises,NaN
Liquid Air,Basic Materials
Riceland Foods,Consumer Defensive
Nacco Industries,Energy
Pittway,Industrials
Easco,Technology 
SCI Systems,Consumer Cyclical
Bairnco,Industrials
California & Hawaiian Sugar,Consumer Defensive
Pentair,Industrials
Nerco,Industrials
Dorsey,Industrials
Ocean Spray,Consumer Defensive
Jostens,Consumer Cyclical
Apogent Technologies,Healthcare
Cooper Tire & Rubber,Consumer Cyclical
Hubbell,Industrials
Matan Industries,NaN
Datapoint,Technology
Shaw Industries,Consumer Cyclical
Michigan Milk Prod. Assoc.,Consumer Defensive
Hillenbrand Industries,Industrials
Todd Shipyards,Industrials
Compaq Computer,Technology
Ametek,Industrials
Loral,Consumer Defensive
Intl. Flavors & Frag.,Basic Materials
Butler Manufacturing,Industrials
Harris Graphics,Industrials
Herman Miller,Consumer Cyclical
Universal Foods,Consumer Defensive
Sun-Diamond Growers,Consumer Defensive
Stanadyne,Industrials
Joy Global,Industrials
Carlisle,Industrials
Leggett & Platt,Consumer Cyclical
UST,Consumer Defensive
Meredith,Communication Services
HNI,Industrials
Dataproducts,Technology
Barnes Group,Industrials
Gifford-Hill,Basic Materials
C.R. Bard,Healthcare
Wisconsin Dairies Cooperative,Consumer Defensive
Philips Industries,Industrials
American Bakeries,Consumer Defensive
Ampco-Pittsburgh,Industrials
Longview Fibre,Basic Materials
Revere Copper & Brass,Basic Materials
H.B. Fuller,Basic Materials
Trinity Industries,Industrials
Chesapeake,Energy
Commerce Clearing House,Financial Services
Coleman,Consumer Cyclical
Computervision,Technology
Standard Register,Industrials
Lancaster Colony,Consumer Defensive
Scientific-Atlanta,Technology
S.S. Pierce,Consumer Cyclical
American Maize-Products,Consumer Defensive
Winnebago Industries,Consumer Cyclical
Chicago Pacific,NaN
United Auto Group,Consumer Cyclical
American Financial Grp.,Financial Services
Unilever U.S.,Consumer Defensive
Reynolds & Reynolds,Consumer Cyclical
Consol Energy,Energy
Adams Resources & Engy.,Energy
LSI Logic,Technology
Reliance Steel & Alum.,Basic Materials
Citgo Petroleum,Energy
Computer Assoc. Intl.,Technology
New England Electric Sys.,Utilities
Gateway,Industrials
Financial Services,Financial Services
Brink's,Industrials
Holly,Consumer Cyclical
Seagate Technology,Technology
Pall,Industrials
American Medical Holdings,Healthcare
Du Pont Merck Pharmaceutical,Healthcare
Ruddick,Consumer Defensive
Universal,Consumer Defensive
Pulte Homes,Consumer Cyclical
Duracell International,Industrials
Sonat,Energy
Foamex International,Basic Materials
MCI Communications,Financial Services
Food 4 Less,Consumer Defensive
Trans World Airlines,Industrials
Progress Energy,Energy
Affiliated Computer Services,Technology
Chiquita Brands International,Consumer Defensive
Vons,Consumer Defensive
U.S. Healthcare,Healthcare
Encompass Services,Healthcare
Frontier Oil,Energy
Unifi,Consumer Cyclical
Est�e Lauder,Consumer Defensive
MDU Resources Group,Industrials
PacifiCorp,Utilities
Barnett Banks,Financial Services
Eckerd,Consumer Defensive
Block Drug,Healthcare
Sprague Technologies,Technology
Bergen Brunswig,Healthcare
Energy,Energy
Energy East,Energy
ITT Rayonier,Basic Materials
NTL Europe,Communication Services
WellPoint,Healthcare
Goulds Pumps,Industrials
Aleris International,Basic Materials
Interface,Industrials
Ventas,Real Estate
Chrysler Group,Consumer Cyclical
Affiliated Computer Svcs.,Technology
Hechinger,Consumer Cyclical
Sterling Chemicals,Basic Materials
Atari,Communication Services
Delta Woodside Industries,Basic Materials
USA Education,NaN
Columbia/HCA Healthcare,Healthcare
L.B. Foster,Industrials
Jones Apparel Group,Consumer Cyclical
Richfood Holdings,Consumer Defensive
BayNetworks,Technology
SunGard Data Systems,Technology
MCI WorldCom,Financial Services
NorAm Energy,Energy
Clear Channel Communications,Communication Services
Long Island Lighting,Utilities
KB Home,Consumer Cyclical
Dr Pepper/Seven-Up,Consumer Defensive
Sanmina-SCI,Technology
First American Corp.,Financial Services
Mueller Industries,Industrials
Tutor Perini,Industrials
Fisher Scientific Intl.,Healthcare
CNF,Financial Services
Wal-Mart Stores,Consumer Defensive
Marion Laboratories,Healthcare
Chemed,Healthcare
Cyprus Amax Minerals,Basic Materials
CVS Caremark,Healthcare
Giant Food,Consumer Cyclical
Millipore,Healthcare
WLR Foods,Consumer Defensive
Reebok International,Consumer Cyclical
Phoenix,Financial Services
Health Management Associates,Healthcare
Mutual of Omaha Ins.,Financial Services
International Controls,Industrials
J.P. Industries,Industrials
Nash-Finch,Consumer Defensive
Robertshaw Controls,Industrials
Lehman Brothers,Financial Services
Borders Group,Consumer Cyclical
Yellow Roadway,industrials
Detroit Diesel,industrials
Standard Pacific,Consumer Cyclical
Fred Meyer,Consumer Defensive
Maxtor,Technology
Washington Mutual,Financial Services
Transamerica,Financial Services
Amazon.Com,Consumer Cyclical
Alberto-Culver,Consumer Defensive
Arcadian,Consumer Defensive
Lyondell Chemical,Basic Materials
Calumet Specialty Products,Energy
ArvinMeritor,Consumer Cyclical
Guilford Mills,Consumer Defensive
GPU,Utilities
Zurn Industries,Industrials
Lehman Brothers Hldgs.,Financial Services
Science Applications Intl.,Technology
Old Republic Intl.,Financial Services
MGM Mirage,Consumer Cyclical
USF&G,Consumer Defensive
Community Health Sys.,Healthcare
Alliant Techsystems,Industrials
Fisher Scientific Group,Healthcare
NaN,Financial Services
Ryerson,Industrials
Boatmen's Bancshares,Financial Services
Freescale Semiconductor,Technology
Caldor,Consumer Cyclical
Valassis Communications,Communication Services
"Toys ""R"" Us",Consumer Cyclical
Niagara Mohawk Holdings,Utilities
BankBoston Corp.,Financial Services
Allen Group,NaN
Western Publishing Group,Communication Services
Bear Stearns,Financial Services
J.M. Huber,Basic Materials
Liberty Global,Communication Services
Consumer Cyclical,Consumer Cyclical
Equity Office Properties,Real Estate
Financial services,Financial Services
AECOM Technology,Industrials
Teleflex,Healthcare
Bankers Trust Corp.,Financial Services
Avista,Utilities
New Century Energies,Utilities
Toro,Industrials
Consolidated Natural Gas,Energy
Qwest Communications,Communication Services
St. Joe Paper,Real Estate
American Stores,Consumer Defensive
Summit Bancorp,Financial Services
Dresser-Rand,Industrials
Priceline.com,Consumer Cyclical
Xidex,Technology
CVS,Healthcare
Coventry Health Care,Healthcare
Bayer Corporation,Healthcare
Caremark Rx,Healthcare
Specialty Coatings International,Basic Materials
Kennametal,Industrials
Tele-Communications,Communication Services
Transco Energy,Energy
Marley,Consumer Cyclical
Toys `R` Us,Consumer Cyclical
CoreStates Financial Corp.,Financial Services
MicroAge,Technology
WellPoint Health Networks,Healthcare
Starwood Hotels & Rsrts.,Consumer Cyclical
Wendy's International,Consumer Cyclical
Ryland Group,Consumer Cyclical
Great American Mgmt. & Inv.,Financial Services
Energy Transfer Partners,Energy
Ameritech,Communication Services
Lehman Brothers Holdings,Financial Services
InaCom,Technology
Plains All American Pipeline,Energy
Standard Commercial,NaN
Rochester & Pittsburgh Coal,Energy
McDermott,Industrials
S&C Holdco 3,NaN
Dole Food,Consumer Defensive
US Airways Group,Industrials
AST Research,Technology
Union Texas,Energy
Avery,Consumer Cyclical
Allied Waste Industries,Industrials
America Online,Communication Services
R.H. Donnelley,Communication Services
Republic New York Corp.,Financial Services
Cray Research,Technology
DirecTV Group,Communication Services
Lone Star Technologies,Energy
Great Lakes Chemical,Basic Materials
Hexion Specialty Chemicals,Basic Materials
U.S. Foodservice,Consumer Defensive
Millennium Chemicals,Basic Materials
TEPPCO Partners,Energy
Sprint,Healthcare
Spectrum Group International,Consumer Cyclical
Harman Intl. Industries,Consumer Cyclical
Molex,Technology
Communication Services,Communication Services
Travelers Property Casualty,Financial Services
J.P. Morgan,Financial Services
Nynex,Communication Services
United States Shoe,Consumer Cyclical
Calmat,basic materials
LandAmerica Financial,Financial Services
Oryx Energy,Energy
Kmart Holding,Consumer Cyclical
Jacobs Engineering Grp.,Industrials
UIS,Technology
Unum,Financial Services
Enterprise Products,Energy
NuStar Energy,Energy
Avatex,Consumer Cyclical
Telephone & Data Sys.,Communication Services
Allied Products,Healthcare
Merrill Lynch,Financial Services
Perini,Industrials
Liberty Mutual Ins. Group,Financial Services
Foundation Health,Healthcare
Sun Healthcare Group,Healthcare
Kinder Morgan Energy,Energy
NCH,Healthcare
Katy Industries,Industrials
Vishay Intertechnology,Technology
Noxell,Consumer Defensive
Adelphia Communications,Communication Services
JPS Textile Group,Consumer Cyclical
Motorola Mobility Holdings,Technology
Carter-Wallace,Consumer Defensive
Polo Ralph Lauren,Consumer Cyclical
Integrated Health Services,Healthcare
CVS/Caremark,Healthcare
SouthTrust Corp.,Financial Services
Valmont Industries,Industrials
Central & South West,Utilities
H.F. Ahmanson,Financial Services
Del Monte Foods,Consumer Defensive
IAC/Interactive,Communication Services
NorthWestern,Utilities
CENEX,Energy
Aon,Financial Services
OGE Energy,Utilities
Flowserve,Industrials
Sears Roebuck,Consumer Cyclical
Lukens,Basic Materials
Grow Group,Basic Materials
Bassett Furniture Industries,Consumer Cyclical
Roadway,Industrials
Columbia Energy Group,Energy
Healthcare,Healthcare
Industrials,Industrials
Henley Manufacturing,NaN
Russell,Consumer Cyclical
Allmerica Financial,Financial Services
Foundation Health Systems,Healthcare
Cooper Cos.,Healthcare
Sealy,Consumer Cyclical
BJ Services,Energy
JDS Uniphase,Technology
Cox Communications,Consumer Cyclical
P.H. Glatfelter,Basic Materials
M.A. Hanna,Basic Materials
PacifiCare Health Sys.,Healthcare
Holnam,Basic Materials
URS,Industrials
Premcor,Energy
GEICO,Financial Services
Interim Services,Industrials
Faberge,Consumer Cyclical
Morgan Stanley Group,Financial Services
United States Surgical,Healthcare
Stewart & Stevenson Svcs.,Energy
Pinnacle West Capital,Utilities
Beazer Homes USA,Consumer Cyclical
El Paso,Energy
Revco D.S.,Consumer Defensive
Kaman,Industrials
Universal American,Healthcare
Conectiv,Utilities
Borden Chemicals & Plastics,Basic Materials
Pathmark Stores,Consumer Defensive
Foodbrands America,Consumer Defensive
Apollo Group,Financial Services
Affiliated Publications,Communication Services
York International,Industrials
Kimball International,Consumer Cyclical
Denny's,Consumer Cyclical
MidAmerican Energy Holdings,Utilities
Kendall International,Healthcare
Hudson Foods,Consumer Defensive
Bandag,Industrials
Mercantile Stores,Consumer Cyclical
Citicorp,Financial Services
Constar International,Basic Materials
Alltel,Communication Services
Turner Broadcasting,Communication Services
Oxford Health Plans,Healthcare
GenAmerica,Financial Services
Unisource,Industrials
Guardian Life of America,Financial Services
WPS Resources,Healthcare
BankAmerica Corp.,Financial Services
Quanex,Industrials
St. Paul Travelers Cos.,Financial Services
First Interstate Bancorp,Financial Services
J.P. Morgan Chase & Co.,Financial Services
Carpenter,Industrials
First Fidelity Bancorp.,Financial Services
AmSouth Bancorp.,Financial Services
AdvancePCS,Healthcare
Hillshire Brands,Consumer Defensive
Beneficial,Financial Services
Standard Motor Products,Consumer Cyclical
Burlington Resources,Consumer Cyclical
Supermarkets Genl. Holdings,Consumer Defensive
TXU,Utilities
Southern Pacific Rail,Industrials
Prudential Ins. Co. of America,Financial Services
Hovnanian Enterprises,Consumer Cyclical
Freeport-McMoRan Copper & Gold,Basic Materials
Albany International,Consumer Cyclical
Lexmark International,Technology
Unicom,Communication Services
Universal Forest Prods.,Basic Materials
Gitano Group,Consumer Cyclical
Teachers Insurance & Annuity Assn.,Financial Services
XTO Energy,Energy
International Assets Holding,Financial Services
MCI,Financial Services
Reliant Energy,Utilities
Saks,Consumer Cyclical
AirTouch Communications,Technology
Security Benefit,Financial Services
Jefferson-Pilot,Financial Services
Comdisco Holding,Technology
CVR Energy,Energy
APL,Industrials
Tellabs,Technology
Scana,Utilities
Automatic Data Proc.,Industrials
Crestline Capital,Financial Services
Wachovia Corp.,Financial Services
Blockbuster,Consumer Cyclical
ReliaStar Financial,Financial Services
HealthSouth,Healthcare
"HomeBase, Inc.",Consumer Cyclical
Mobil,Energy
AbitibiBowater,Basic Materials
H&R Block,Consumer Cyclical
Great Western Financial Corp.,Financial Services
Anchor Glass Container,Basic Materials
Mondelēz International,Consumer Defensive
Lucent Technologies,Technology
Bindley Western,Healthcare
Olsten,Industrials
Apollo Computer,Technology
Bell Atlantic,Communication Services
Abex,Industrials
Comerica,Financial Services
Finevest Foods,Consumer Defensive
IAC/InterActiveCorp,Communication Services
International Steel Group,Basic Materials
Manpower,Industrials
Ultramar Diamond Shamrock,Energy
Limited Brands,Consumer Cyclical
Reliance Group Holdings,Financial Services
Spiegel,Communication Services
AFLAC,Financial Services
PanEnergy,Energy
Albertson's,Consumer Defensive
Shawmut National Corp.,Financial Services
Rykoff-Sexton,Consumer Defensive
Aramark Holdings,Industrials
Reader's Digest Assn.,Communication Services
Household International,Financial Services
OM Group,Basic Materials
First Chicago NBD Corp.,Financial Services
Leslie Fay,Consumer Cyclical
Magma Copper,Basic Materials
Western Gas Resources,Energy
Diebold,Technology
BlueLinx Holdings,Industrials
Anacomp,Industrials
New England Mutual Life Ins.,Financial Services
Silicon Graphics,Technology
Grand Union Holdings,Consumer Defensive
Momentive Specialty Chemicals,Basic Materials
Knight,Industrials
Merisel,Technology
SCANA,Industrials
Mellon Financial Corp.,Financial Services
Genesco,Consumer Cyclical
United States Filter,Utilities
UAL,Industrials
Aleris,Basic Materials
Allegheny Energy,Utilities
Genzyme,Healthcare
Paine Webber Group,Financial Services
Betz Laboratories,Basic Materials
Texas Utilities,Utilities
Pennzoil-Quaker State,Consumer Defensive
Warner Communications,Communication Services
A. Schulman,Basic Materials
KeySpan,Utilities
Beckman Coulter,Technology
American Family Ins. Grp.,Financial Services
Harcourt General,Communication Services
MBNA,Financial Services
ATCOR,Healthcare
Giddings & Lewis,Consumer Cyclical
Conrail,Industrials
Noble Energy,Energy
Nextel Communications,Communication Services
Caremark International,Healthcare
Diamond Shamrock,Energy
State Farm Insurance Cos,Financial Services
Brinker International,Consumer Cyclical
Lutheran Brotherhood,Financial Services
Meritor Automotive,Industrials
American Intl. Group,Financial Services
Wisconsin Energy,Utilities
Banta,Industrials
Toys 'R' Us,Consumer Cyclical
Knoll International Holdings,Industrials
Stater Bros. Holdings,Consumer Defensive
CC Media Holdings,Communication Services
Shaw Group,Industrials
Massey Energy,Energy
Oregon Steel Mills,Basic Materials
3Com,Technology
U.S. Office Products,Industrials
BrightPoint,Industrials
Loctite,Basic Materials
Mark IV Industries,Industrials
Silgan Holdings,Consumer Cyclical
Lincoln Electric Holdings,Industrials
Brightpoint,Industrials
ADC Telecommunications,Communication Services
Sigma-Aldrich,Healthcare
Magnetek,Industrials
Rock-Tenn,Basic Materials
Amoskeag,Consumer Cyclical
Pacific Telesis Group,Communication Services
Pope & Talbot,Basic Materials
Blount,Industrials
Laidlaw International,Financial Services
Browning-Ferris Industries,Industrials
Susser Holdings,Consumer Defensive
Premark International,Industrials
Allegiance,Industrials
Northern Trust Corp.,Financial Services
Uniroyal Goodrich Tire,Consumer Cyclical
Mercantile Bancorp.,Financial Services
Himont,Basic Materials
Pepco Holdings,Consumer Defensive
ShopKo Stores,Consumer Cyclical
TransMontaigne,Energy
Enron,Energy
AXA Financial,Financial Services
HealthTrust,Real Estate
Airborne,Communication Services
Helene Curtis Industries,Consumer Defensive
Wells Fargo & Co.,Financial Services
Newell Rubbermaid,Consumer Defensive
Harrah's Entertainment,Consumer Cyclical
Varity,Industrials
Coca-Cola Bottling,Consumer Defensive
Administaff,Industrials
Beverly Enterprises,Healthcare
FPL Group,Utilities
GTE,Energy
Georgia Gulf,Basic Materials
AFG Industries,Financial Services
Harte-Hanks Communications,Industrials
Plains All Amer. Pipeline,Energy
"MediaOne Group, Inc.",Communication Services
United Services Automobile Association,Financial Services
Corn Products International,Consumer Defensive
Smith's Food & Drug Centers,Industrials
WellChoice,Healthcare
Cinergy,Utilities
Ply Gem,Industrials
Wesco International,Industrials
Enbridge Energy Partners,Energy
National City Corp.,Financial Services
Thrifty PayLess Holdings,Consumer Defensive
Huffy,Consumer Cyclical
LG&E Energy,Utilities
MetroPCS Communications,Communication Services
Washington Group Intl.,Industrials
CenturyTel,Communication Services
IBP,Consumer Defensive
Hughes Supply,Industrials
GMAC,Financial Services
Delphi,Consumer Cyclical
Tonka,Consumer Cyclical
John Hancock Financial Svcs.,Financial Services
Countrywide Financial,Financial Services
Plains Resources,Energy
Gaylord Container,Basic Materials
Kenner Parker Toys,Consumer Cyclical
AMR,Basic Materials
Thermo Electron,Healthcare
Nash Finch,Consumer Defensive
Crosstex Energy,Energy
Centerior Energy,Utilities
Conseco,Financial Services
Circuit City Stores,Consumer Cyclical
First Mississippi,NaN
RPM International,Basic Materials
Corporate Express,Industrials
Maxxam,Basic Materials
CHS Electronics,Technology
Puget Energy,Utilities
Thomas & Betts,Technology
Golden State Bancorp,Financial Services
Harbinger Group,Financial Services
Meritor,Consumer Cyclical
Federated Dept. Stores,Consumer Cyclical
Nebco Evans,NaN
Mylan,Healthcare
Mirant,Utilities
Echostar Communications,Technology
National Steel,Basic Materials
Legg Mason,Financial Services
Sierra Pacific Resources,Utilities
Ames Dept. Stores,Consumer Cyclical
Emcor Group,Industrials
Vector Group,Consumer Defensive
Ace Hardware,Consumer Cyclical
Reliance Electric,Industrials
Boise Cascade Holdings,Basic Materials
Primedia,Communication Services
Exide Technologies,Industrials
Dell,Technology
Florida Progress,Utilities
Continental Airlines,Industrials
Circle K,Consumer Defensive
ONEOK,Energy
Aquila,Energy
Alpha Natural Resources,Energy
Miniscribe,Technology
Rexene,Basic Materials
Fairchild,Basic Materials
Exelis,Healthcare
Providian Financial,Financial Services
Burlington Northern Santa Fe,Industrials
Biogen Idec,Healthcare
Triad Hospitals,Healthcare
Baroid,Energy
Domino Sugar,Consumer Defensive
Longs Drug Stores,Consumer Defensive
E.W. Scripps,Communication Services
Mass. Mutual Life Ins.,Financial Services
PepsiAmericas,Consumer Defensive
Hilton Hotels,Consumer Cyclical
MDC Holdings,Consumer Cyclical
Intelligent Electronics,Technology
Shaklee,Consumer Defensive
Fleming,Consumer Defensive
SSMC,Technology
Jepson,Industrials
CompUSA,Technology
Centex,Real Estate
Neiman Marcus,Consumer Cyclical
Harvard Industries,Basic Materials
Tyco Toys,Consumer Cyclical
Burlington No. Santa Fe,Industrials
Associates First Capital,Financial Services
Realogy,Real Estate
Payless Cashways,Consumer Cyclical
Standard Products,Consumer Cyclical
Dynegy,Utilities
Golden West Financial,Financial Services
Cone Mills,Consumer Cyclical
SBC Communications,Communication Services
Jacuzzi Brands,Consumer Cyclical
J&L Specialty Steel,Basic Materials
Electronic Arts,Communication Services
Foster Wheeler,Industrials
DIMON,Financial Services
IMC Global,Basic Materials
Great Atlantic & Pacific Tea,Consumer Defensive
Idacorp,Utilities
Wellman,Basic Materials
UnumProvident,Financial Services
Vanguard Health Systems,Healthcare
Sudbury,Basic Materials
Sun Microsystems,Technology
LPL Technologies,Technology
Spherion,Industrials
Brooke Group,Financial Services
Total Petroleum,Energy
Cendant,Industrials
Diamond-Bathurst,Basic Materials
Uniroyal Chemical,Consumer Cyclical
HD Supply,Industrials
First Brands,Consumer Defensive
Amerigroup,Healthcare
Vista Chemical,Basic Materials
NII Holdings,Communication Services
Union Planters Corp.,Financial Services
Henley Group,Industrials
Solectron,Technology
CA,Technology
NYSE Euronext,Financial Services
Continental,Consumer Cyclical
Quantum,Technology
Amalgamated Sugar,Consumer Defensive
Envirodyne Industries,Basic Materials
Catalyst Health Solutions,Healthcare
ServiceMaster,Industrials
Freeport-McMoRan Cpr. & Gld,Basic Materials
General Re,Financial Services
Sodexho Marriott Services,Industrials
Imperial Sugar,Consumer Defensive
FHP International,Healthcare
Turner Corp.,Industrials
FleetBoston Financial,Financial Services
Winn-Dixie Stores,Consumer Defensive
Coach,Consumer Cyclical
Bank of New York Co.,Financial Services
Sovereign Bancorp,Financial Services
Ikon Office Solutions,Technology
PolyOne,Basic Materials
Host Marriott,Consumer Cyclical
American Axle & Mfg.,Consumer Cyclical
ITT,Industrials
Essex Group,Real Estate
Northeast Utilities,Utilities
Hannaford Bros.,Consumer Defensive
Marshall & Ilsley Corp.,Financial Services
Staff Leasing,Industrials
Caliber System,Industrials
Valhi,Basic Materials
Lennox International,Industrials
Universal Health Svcs.,Healthcare
Service Merchandise,Consumer Cyclical
Avaya,Technology
Cliffs Natural Resources,Basic Materials
Oshkosh Truck,Industrials
DIRECTV Group,Communication Services
First Chicago Corp.,Financial Services
Viad,Industrials
Medco Health Solutions,Healthcare
Steelcase,Industrials
Pilgrim's Pride,Consumer Defensive
SAIC,Technology
AT&T Wireless Services,Communication Services
Providian,Financial Services
US West,Communication Services
Kraft Foods,Consumer Defensive
Chase Manhattan Corp.,Financial Services
Lorillard,Consumer Defensive
CIT Group,Financial Services
May Dept. Stores,Consumer Cyclical
Oaktree Capital Group,Financial Services
United Stationers,Industrials
Virgin Media,Communication Services
Spartan Stores,Consumer Defensive
American General,Financial Services
DSC Communications,Technology
Pullman,Industrials
Avondale Industries,Industrials
Safeco,Financial Services
Allegheny Technologies,Industrials
Actavis,Healthcare
Western Atlas,Energy
Morrison Knudsen,Industrials
Homestake Mining,Basic Materials
Tri Valley Growers,Consumer Defensive
Stanhome,Consumer Defensive
CB Richard Ellis Group,Real Estate
Northwest Airlines,Industrials
Intergraph,Technology
Tambrands,Consumer Defensive
RadioShack,Consumer Cyclical
La-Z-Boy,Consumer Cyclical
Fisher-Price,Consumer Cyclical
Windstream,Communication Services
Pacific Enterprises,Utilities
YRC Worldwide,Industrials
Trane,Industrials
State St. Corp.,Financial Services
Valspar,Basic Materials
HCA,Healthcare
Embarq,Communication Services
Tredegar Industries,Industrials
True Value,Consumer Cyclical
Manitowoc,Industrials
Pepsi Bottling,Consumer Defensive
Walgreen,Healthcare
Clevite Industries,Consumer Cyclical
Enterprise GP Holdings,Energy
Imo Industries,Energy
Roundy's,Consumer Defensive
NSTAR,Utilities
Medtronic,Healthcare
Service Corp. Intl.,Consumer Cyclical
ACX Technologies,Basic Materials
ProLogis,Real Estate
Express Scripts,Healthcare
Crystal Brands,Consumer Cyclical
Pet,Consumer Defensive
Prairie Farms Dairy,Consumer Defensive
Electronic Data Systems,Technology
Guidant,Healthcare
Budget Group,Consumer Cyclical
Horsehead Industries,Basic Materials
Google,Communication Services
College Retirement Equities Fund,Financial Services
Ivax,Healthcare
Wellpoint,Healthcare
Stop & Shop,Consumer Defensive
Salomon,Consumer Defensive
Conner Peripherals,Technology
Case,Industrials
Atmos Energy,Utilities
Morton International,Basic Materials
Santa Fe Pacific,Industrials
Bruno's,Consumer Cyclical
Texas Industries,Technology
NTL,Communication Services
Bank One Corp.,Financial Services
ProSource,Consumer Cyclical
Dixie Yarns,Consumer Cyclical
Core-Mark International,Consumer Defensive
Southdown,Basic Materials
Aristech Chemical,Basic Materials
Sprint Nextel,Communication Services
BellSouth,Communication Services
Penn Traffic,Consumer Cyclical
SLM,Financial Services
Conoco,Energy
Avis Rent A Car,Industrials
