rank,company,revenue ($ millions),profit ($ millions),Sector
240,CarMax,11458.0,434.0,Consumer Cyclical
241,VF,11420.0,1210.0,Consumer Cyclical
242,Entergy,11391.0,712.0,Utilities
243,Automatic Data Processing,11334.0,1406.0,Industrials
244,NRG Energy,11295.0,-386.0,Utilities
245,Guardian Life Ins. Co. of America,11272.0,271.0,Financial Services
246,Liberty Interactive,11252.0,501.0,Communication Services
247,Norfolk Southern,11245.0,1910.0,Industrials
248,Office Depot,11242.0,-20.0,Consumer Cyclical
249,Ameriprise Financial,11230.0,1334.0,Financial Services
250,Gilead Sciences,11202.0,3075.0,Healthcare
251,Centene,11130.0,165.0,Healthcare
252,Leucadia National,11119.0,369.0,Financial Services
253,Huntsman,11079.0,128.0,Basic Materials
254,Health Net,11054.0,170.0,Healthcare
255,Stanley Black & Decker,11040.0,490.0,Industrials
256,URS,10991.0,247.0,Industrials
257,Xcel Energy,10915.0,948.0,Utilities
258,Bed Bath & Beyond,10915.0,1038.0,Consumer Cyclical
259,Navistar International,10848.0,-898.0,Industrials
260,Synnex,10845.0,152.0,Technology
261,First Data,10809.0,-869.0,Financial Services
262,AGCO,10787.0,597.0,Industrials
263,L Brands,10773.0,903.0,Consumer Cyclical
264,Hertz Global Holdings,10772.0,346.0,Industrials
265,CDW,10769.0,133.0,Technology
266,CST Brands,10750.0,139.0,Energy
267,Sempra Energy,10557.0,1001.0,Utilities
268,R.R. Donnelley & Sons,10480.0,211.0,Industrials
269,BB&T Corp.,10444.0,1679.0,Financial Services
270,Devon Energy,10397.0,-20.0,Energy
271,Family Dollar Stores,10392.0,444.0,Consumer Defensive
272,Unum Group,10354.0,858.0,Financial Services
273,Ally Financial,10339.0,361.0,Financial Services
274,Reinsurance Group of America,10318.0,419.0,Financial Services
275,State Street Corp.,10295.0,2136.0,Financial Services
276,Air Products & Chemicals,10233.0,994.0,Basic Materials
277,Ross Stores,10230.0,837.0,Consumer Cyclical
278,Sherwin-Williams,10186.0,753.0,Basic Materials
279,Estée Lauder,10182.0,1020.0,Consumer Defensive
280,BlackRock,10180.0,2932.0,Financial Services
281,Western Refining,10086.0,276.0,Energy
282,Avon Products,10010.0,-56.0,Consumer Defensive
283,Mosaic,9974.0,1889.0,Basic Materials
284,Public Service Enterprise Group,9968.0,1243.0,Utilities
285,Dean Foods,9963.0,813.0,Consumer Defensive
286,Cameron International,9838.0,699.0,Energy
287,MGM Resorts International,9810.0,-157.0,Consumer Cyclical
288,KKR,9759.0,691.0,Financial Services
289,Hilton Worldwide Holdings,9735.0,415.0,Consumer Cyclical
290,DTE Energy,9661.0,661.0,Utilities
